,symbol
1598,BIRLACABLE
1599,MAHSEAMLES
1600,SAURASHCEM
1601,HBLENGINE
1602,VADILALIND
1603,HLEGLAS
1604,DCMSRIND
1605,MAWANASUG
1606,HESTERBIO
1607,ATULAUTO
1608,GALLANTT
1609,PARAGMILK
1610,GANESHBE
1611,OSWALAGRO
1612,TATACONSUM
1613,KEYFINSERV
1614,VADILALIND
1615,RADIANTCMS
1616,HESTERBIO
1617,GUJALKALI
1618,STYLEBAAZA
1619,PNBGILTS
1620,KPRMILL
1621,DBREALTY
1622,BROOKS
1623,GPTINFRA
1624,VMART
1625,MANAKALUCO
1626,VALIANTORG
1627,OAL
1628,NAHARSPING
1629,RSWM
1630,TIRUMALCHM
1631,VTL
1632,PRECOT
1633,ALEMBICLTD
1634,ANUHPHR
1635,DONEAR
1636,NAHARINDUS
1637,TRIDENT
1638,NAHARPOLY
1639,PYRAMID
1640,TEJASNET
1641,BALPHARMA
1642,FAZE3Q
1643,GPTHEALTH
1644,STYLEBAAZA
1645,DCMNVL
1646,CSBBANK
1647,NSIL
1648,GOKEX
1649,SPLIL
1650,RBA
1651,IDFCFIRSTB
1652,PARAGMILK
1653,AAREYDRUGS
1654,BALPHARMA
1655,VIPCLOTHNG
1656,KSCL
1657,CHEMFAB
1658,WHEELS
1659,CHOLAHLDNG
1660,FIVESTAR
1661,SCHAND
1662,SMLT
1663,ONEPOINT
1664,FAZE3Q
1665,PRITI
1666,DEEPINDS
1667,STARTECK
1668,MASTEK
1669,ONEPOINT
1670,FAZE3Q
1671,IRISDOREME
1672,JYOTHYLAB
1673,ROSSELLIND
1674,ATUL
1675,SARDAEN
1676,UMAEXPORTS
1677,STEELCAS
1678,PVP
1679,INOXGREEN
1680,TVSHLTD
1681,RACLGEAR
1682,PIIND
1683,HIKAL
1684,GOLDIAM
1685,TREJHARA
1686,ALMONDZ
1687,NORTHARC
1688,BLKASHYAP
1689,EDELWEISS
1690,RANEENGINE
1691,GRAVITA
1692,SHARDACROP
1693,MOTHERSON
1694,INOXGREEN
1695,AVADHSUGAR
1696,GOLDIAM
1697,KOTHARIPRO
1698,SRM
1699,CUPID
1700,TREJHARA
1701,DJML
1702,SAILIFE
1703,POCL
1704,AUTOIND
1705,AHLUCONT
1706,DHANI
1707,FINOPB
1708,INTELLECT
1709,SHK
1710,DIAMINESQ
1711,ORIENTPPR
1712,RANEHOLDIN
1713,SOMATEX
1714,DREDGECORP
1715,RAMAPHO
1716,INDOAMIN
1717,SAMHI
1718,IREDA
1719,DOMS
1720,SARLAPOLY
1721,THEINVEST
1722,OPTIEMUS
1723,HINDCON
1724,CUPID
1725,MARINE
1726,GALAPREC
1727,DJML
1728,SECMARK
1729,ENGINERSIN
1730,SANATHAN
1731,JBMA
1732,RML
