,date_x,symbol,marketcapname_x,sector_x,date_y,marketcapname_y,sector_y,cumulative_sum
0,2024-09-25,BAJFINANCE,Largecap,Finance,,,,
1,2024-09-25,BALRAMCHIN,Midcap,FMCG,2025-03-19,Midcap,FMCG,2.0
2,2024-09-25,BLUESTARCO,Largecap,FMCG,2025-03-03,Largecap,FMCG,1.0
3,2024-09-25,KCP,Smallcap,Industrials,,,,
4,2024-09-25,CESC,Largecap,Miscellaneous,,,,
5,2024-09-25,SUNDARMFIN,Largecap,Finance,,,,
6,2024-09-25,ORISSAMINE,Smallcap,Industrials,2025-04-21,Smallcap,Industrials,2.0
7,2024-09-25,HINDPETRO,Largecap,Industrials,2025-05-05,Largecap,Industrials,1.0
8,2024-09-25,TITAN,Largecap,Miscellaneous,,,,
9,2024-09-25,DCW,Smallcap,Oils,,,,
10,2024-09-25,ELECTCAST,Midcap,Industrials,2025-05-19,Midcap,Industrials,2.0
11,2024-09-25,EPL,Midcap,Services,2025-05-12,Midcap,Services,1.0
12,2024-09-25,ESTER,Smallcap,Services,,,,
13,2024-09-25,UFLEX,Smallcap,Services,,,,
14,2024-09-25,GODFRYPHLP,Largecap,FMCG,,,,
15,2024-09-25,GODREJIND,Largecap,Industrials,,,,
16,2024-09-25,GHCL,Midcap,Industrials,,,,
17,2024-09-25,GFLLIMITED,Smallcap,Finance,,,,
18,2024-09-25,HDFCBANK,Largecap,Bank,,,,
19,2024-09-25,HEROMOTOCO,Largecap,Auto,2025-05-15,Largecap,Auto,1.0
20,2024-09-25,HFCL,Midcap,Telecom,2025-05-12,Midcap,Telecom,1.0
21,2024-09-25,HSCL,Largecap,Industrials,,,,
22,2024-09-25,INFY,Largecap,I.T,,,,
23,2024-09-25,KAJARIACER,Midcap,Industrials,,,,
24,2024-09-25,TRENT,Largecap,FMCG,,,,
25,2024-09-25,LUPIN,Largecap,Pharmaceuticals,,,,
26,2024-09-25,MFSL,Largecap,Finance,,,,
27,2024-09-25,CENTENKA,Smallcap,Textiles,,,,
28,2024-09-25,MOREPENLAB,Smallcap,Pharmaceuticals,2025-04-24,Smallcap,Pharmaceuticals,2.0
29,2024-09-25,PEL,Largecap,Finance,2025-05-07,Largecap,Finance,1.0
30,2024-09-25,NIITLTD,Smallcap,I.T,2025-04-23,Smallcap,I.T,1.0
31,2024-09-25,OSWALAGRO,Smallcap,Services,2025-04-17,Smallcap,Services,2.0
32,2024-09-25,PIXTRANS,Smallcap,FMCG,,,,
33,2024-09-25,SURYAROSNI,Midcap,Metals,,,,
34,2024-09-25,PRIMESECU,Smallcap,Finance,,,,
35,2024-09-25,PRSMJOHNSN,Midcap,Industrials,2025-05-15,Midcap,Industrials,1.0
36,2024-09-25,RELINFRA,Midcap,Realty,2025-03-26,Midcap,Realty,2.0
37,2024-09-25,THERMAX,Largecap,FMCG,2025-04-24,Largecap,FMCG,1.0
38,2024-09-25,TORNTPHARM,Largecap,Pharmaceuticals,,,,
39,2024-09-25,UNIENTER,Smallcap,Services,,,,
40,2024-09-25,BBOX,Midcap,I.T,,,,
41,2024-09-25,ESCORTS,Largecap,Auto,,,,
42,2024-09-25,M&M,Largecap,Auto,,,,
43,2024-09-25,VOLTAS,Largecap,FMCG,,,,
44,2024-09-25,DEEPAKFERT,Midcap,Industrials,,,,
45,2024-09-25,EXCELINDUS,Smallcap,Industrials,,,,
46,2024-09-25,GRWRHITECH,Midcap,Services,,,,
47,2024-09-25,HINDUNILVR,Largecap,FMCG,,,,
48,2024-09-25,ASIANPAINT,Largecap,Industrials,,,,
49,2024-09-25,BRITANNIA,Largecap,FMCG,,,,
50,2024-09-25,COLPAL,Largecap,FMCG,,,,
51,2024-09-25,INDHOTEL,Largecap,Services,,,,
52,2024-09-25,ITC,Largecap,FMCG,,,,
53,2024-09-25,SHAILY,Midcap,FMCG,,,,
54,2024-09-25,BBTC,Midcap,Auto,,,,
55,2024-09-25,GREAVESCOT,Midcap,FMCG,2025-04-30,Midcap,FMCG,1.0
56,2024-09-25,MARATHON,Smallcap,Realty,,,,
57,2024-09-25,RUBYMILLS,Smallcap,Textiles,,,,
