,date_daily,symbol,marketcapname_daily,sector_daily,Date_daily,date_volume,marketcapname_volume,sector_volume,Date_volume,CumulativeCount
0,23-05-2025,ATUL,Largecap,Industrials,2025-05-23,11-04-2025,Largecap,Industrials,2025-04-11,1.0
1,23-05-2025,ICICIBANK,Largecap,Bank,2025-05-23,,,,,
2,23-05-2025,AXISBANK,Largecap,Bank,2025-05-23,,,,,
3,23-05-2025,CUB,Midcap,Bank,2025-05-23,22-10-2024,Midcap,Bank,2024-10-22,1.0
4,23-05-2025,GMDCLTD,Midcap,Industrials,2025-05-23,23-10-2024,Midcap,Industrials,2024-10-23,2.0
5,23-05-2025,DHANBANK,Smallcap,Bank,2025-05-23,04-12-2024,Smallcap,Bank,2024-12-04,2.0
6,23-05-2025,SANATHAN,Smallcap,Textiles,2025-05-23,16-04-2025,Smallcap,Textiles,2025-04-16,1.0
7,23-05-2025,TRANSRAILL,Midcap,Realty,2025-05-23,,,,,
8,23-05-2025,ENGINERSIN,Midcap,Realty,2025-05-23,16-04-2025,Midcap,Realty,2025-04-16,1.0
9,23-05-2025,MAZDOCK,Largecap,Aerospace & Defence,2025-05-23,16-05-2025,Largecap,Aerospace & Defence,2025-05-16,1.0
10,23-05-2025,UTIAMC,Midcap,Finance,2025-05-23,16-10-2024,Midcap,Finance,2024-10-16,1.0
11,23-05-2025,BANKINDIA,Largecap,Bank,2025-05-23,27-01-2025,Largecap,Bank,2025-01-27,1.0
12,23-05-2025,ARKADE,Smallcap,Realty,2025-05-23,,,,,
13,23-05-2025,VMM,Largecap,FMCG,2025-05-23,30-04-2025,Largecap,FMCG,2025-04-30,1.0
14,23-05-2025,SINDHUTRAD,Smallcap,Services,2025-05-23,08-10-2024,Smallcap,Services,2024-10-08,2.0
15,23-05-2025,POWERINDIA,Largecap,FMCG,2025-05-23,10-10-2024,Largecap,FMCG,2024-10-10,2.0
16,23-05-2025,BORORENEW,Midcap,Industrials,2025-05-23,11-11-2024,Midcap,Industrials,2024-11-11,3.0
17,23-05-2025,NIVABUPA,Midcap,Services,2025-05-23,23-04-2025,Midcap,Services,2025-04-23,2.0
18,23-05-2025,ACMESOLAR,Midcap,Realty,2025-05-23,,,,,
19,23-05-2025,UJJIVANSFB,Midcap,Bank,2025-05-23,28-11-2024,Midcap,Bank,2024-11-28,2.0
20,23-05-2025,CSBBANK,Midcap,Bank,2025-05-23,10-12-2024,Midcap,Bank,2024-12-10,2.0
21,23-05-2025,HYUNDAI,Largecap,Auto,2025-05-23,,,,,
22,23-05-2025,SOUTHBANK,Midcap,Bank,2025-05-23,,,,,
23,23-05-2025,SGLTL,Smallcap,FMCG,2025-05-23,,,,,
24,23-05-2025,JINDALSTEL,Largecap,Metals,2025-05-23,,,,,
25,23-05-2025,ITCHOTELS,Largecap,Services,2025-05-23,,,,,
26,23-05-2025,UNOMINDA,Largecap,Auto,2025-05-23,12-11-2024,Largecap,Auto,2024-11-12,1.0
27,23-05-2025,PTC,Midcap,Services,2025-05-23,,,,,
28,23-05-2025,TVSELECT,Smallcap,I.T,2025-05-23,31-12-2024,Smallcap,I.T,2024-12-31,3.0
29,23-05-2025,RADICO,Largecap,FMCG,2025-05-23,,,,,
30,23-05-2025,ASTRAMICRO,Midcap,Aerospace & Defence,2025-05-23,09-05-2025,Midcap,Aerospace & Defence,2025-05-09,2.0
31,23-05-2025,DIVISLAB,Largecap,Pharmaceuticals,2025-05-23,,,,,
32,23-05-2025,CANBK,Largecap,Bank,2025-05-23,,,,,
33,23-05-2025,UNIONBANK,Largecap,Bank,2025-05-23,09-05-2025,Largecap,Bank,2025-05-09,1.0
34,23-05-2025,APTECHT,Smallcap,I.T,2025-05-23,13-12-2024,Smallcap,I.T,2024-12-13,3.0
35,23-05-2025,CERA,Midcap,Industrials,2025-05-23,03-12-2024,Midcap,Industrials,2024-12-03,4.0
36,23-05-2025,GODREJCP,Largecap,FMCG,2025-05-23,,,,,
37,23-05-2025,MOSCHIP,Smallcap,I.T,2025-05-23,,,,,
38,23-05-2025,AXISCADES,Smallcap,I.T,2025-05-23,06-12-2024,Smallcap,I.T,2024-12-06,1.0
39,23-05-2025,QPOWER,Smallcap,FMCG,2025-05-23,,,,,
40,23-05-2025,BALAJITELE,Smallcap,Media,2025-05-23,19-11-2024,Smallcap,Media,2024-11-19,3.0
41,23-05-2025,TTML,Midcap,Telecom,2025-05-23,26-11-2024,Midcap,Telecom,2024-11-26,4.0
42,23-05-2025,AJAXENGG,Midcap,FMCG,2025-05-23,,,,,
43,23-05-2025,TRIVENI,Midcap,FMCG,2025-05-23,24-12-2024,Midcap,FMCG,2024-12-24,1.0
44,23-05-2025,TVSMOTOR,Largecap,Auto,2025-05-23,29-01-2025,Largecap,Auto,2025-01-29,1.0
45,23-05-2025,INDIAMART,Midcap,I.T,2025-05-23,,,,,
46,23-05-2025,NORTHARC,Smallcap,Finance,2025-05-23,11-04-2025,Smallcap,Finance,2025-04-11,1.0
47,23-05-2025,MANGCHEFER,Smallcap,Industrials,2025-05-23,06-11-2024,Smallcap,Industrials,2024-11-06,2.0
48,23-05-2025,SUNDARMHLD,Midcap,Finance,2025-05-23,21-03-2025,Midcap,Finance,2025-03-21,1.0
49,23-05-2025,HDFCAMC,Largecap,Finance,2025-05-23,16-10-2024,Largecap,Finance,2024-10-16,2.0
50,23-05-2025,SRM,Smallcap,Realty,2025-05-23,18-11-2024,Smallcap,Realty,2024-11-18,3.0
51,23-05-2025,VARROC,Midcap,Auto,2025-05-23,10-12-2024,Midcap,Auto,2024-12-10,1.0
52,23-05-2025,RITES,Midcap,Miscellaneous,2025-05-23,31-12-2024,Midcap,Miscellaneous,2024-12-31,2.0
53,23-05-2025,NRBBEARING,Smallcap,Industrials,2025-05-23,08-05-2025,Smallcap,Industrials,2025-05-08,1.0
54,23-05-2025,MIDHANI,Midcap,Aerospace & Defence,2025-05-23,19-03-2025,Midcap,Aerospace & Defence,2025-03-19,3.0
55,23-05-2025,CLSEL,Smallcap,FMCG,2025-05-23,16-05-2025,Smallcap,FMCG,2025-05-16,1.0
56,23-05-2025,SANDHAR,Smallcap,Auto,2025-05-23,11-11-2024,Smallcap,Auto,2024-11-11,1.0
57,23-05-2025,HAL,Largecap,Aerospace & Defence,2025-05-23,,,,,
58,23-05-2025,BANDHANBNK,Largecap,Bank,2025-05-23,,,,,
59,23-05-2025,POLYCAB,Largecap,Industrials,2025-05-23,,,,,
60,23-05-2025,BDL,Largecap,Aerospace & Defence,2025-05-23,17-01-2025,Largecap,Aerospace & Defence,2025-01-17,5.0
61,23-05-2025,JSFB,Midcap,Bank,2025-05-23,22-01-2025,Midcap,Bank,2025-01-22,1.0
62,23-05-2025,ASTERDM,Largecap,Pharmaceuticals,2025-05-23,24-10-2024,Largecap,Pharmaceuticals,2024-10-24,2.0
63,23-05-2025,BLSE,Smallcap,I.T,2025-05-23,15-05-2025,Smallcap,I.T,2025-05-15,1.0
64,23-05-2025,OPTIEMUS,Midcap,Services,2025-05-23,16-04-2025,Midcap,Services,2025-04-16,1.0
65,23-05-2025,PRIVISCL,Midcap,Industrials,2025-05-23,08-05-2025,Midcap,Industrials,2025-05-08,1.0
66,23-05-2025,FAZE3Q,Smallcap,Textiles,2025-05-23,04-03-2025,Smallcap,Textiles,2025-03-04,5.0
67,23-05-2025,NEWGEN,Midcap,I.T,2025-05-23,24-04-2025,Midcap,I.T,2025-04-24,1.0
68,23-05-2025,ONEPOINT,Smallcap,I.T,2025-05-23,07-01-2025,Smallcap,I.T,2025-01-07,3.0
69,23-05-2025,CREDITACC,Midcap,Finance,2025-05-23,02-01-2025,Midcap,Finance,2025-01-02,3.0
70,23-05-2025,BHARTIHEXA,Largecap,Telecom,2025-05-23,18-12-2024,Largecap,Telecom,2024-12-18,1.0
71,23-05-2025,SGIL,Smallcap,Industrials,2025-05-23,22-04-2025,Smallcap,Industrials,2025-04-22,1.0
72,23-05-2025,IRCON,Midcap,Realty,2025-05-23,11-12-2024,Midcap,Realty,2024-12-11,2.0
73,23-05-2025,ARVINDFASN,Midcap,Services,2025-05-23,,,,,
74,23-05-2025,GRMOVER,Smallcap,FMCG,2025-05-23,13-01-2025,Smallcap,FMCG,2025-01-13,3.0
75,23-05-2025,PREMIERENE,Largecap,FMCG,2025-05-23,,,,,
76,23-05-2025,TNPL,Smallcap,Industrials,2025-05-23,02-12-2024,Smallcap,Industrials,2024-12-02,3.0
77,23-05-2025,CHALET,Midcap,Services,2025-05-23,12-12-2024,Midcap,Services,2024-12-12,1.0
78,23-05-2025,KPIGREEN,Midcap,Miscellaneous,2025-05-23,14-05-2025,Midcap,Miscellaneous,2025-05-14,1.0
79,23-05-2025,BYKE,Smallcap,Services,2025-05-23,30-10-2024,Smallcap,Services,2024-10-30,3.0
80,23-05-2025,CHOICEIN,Midcap,Finance,2025-05-23,23-04-2025,Midcap,Finance,2025-04-23,1.0
81,23-05-2025,ZYDUSWELL,Midcap,FMCG,2025-05-23,,,,,
82,23-05-2025,AKUMS,Midcap,Pharmaceuticals,2025-05-23,19-11-2024,Midcap,Pharmaceuticals,2024-11-19,1.0
83,23-05-2025,NUCLEUS,Smallcap,I.T,2025-05-23,17-04-2025,Smallcap,I.T,2025-04-17,2.0
84,23-05-2025,ABDL,Midcap,FMCG,2025-05-23,,,,,
85,23-05-2025,IXIGO,Midcap,I.T,2025-05-23,11-12-2024,Midcap,I.T,2024-12-11,1.0
86,23-05-2025,TECHNOE,Midcap,Realty,2025-05-23,04-02-2025,Midcap,Realty,2025-02-04,2.0
87,23-05-2025,IOC,Largecap,Industrials,2025-05-23,,,,,
88,23-05-2025,REMSONSIND,Smallcap,Auto,2025-05-23,15-05-2025,Smallcap,Auto,2025-05-15,1.0
89,23-05-2025,MARINE,Smallcap,FMCG,2025-05-23,09-12-2024,Smallcap,FMCG,2024-12-09,2.0
90,23-05-2025,MANORAMA,Midcap,FMCG,2025-05-23,28-04-2025,Midcap,FMCG,2025-04-28,1.0
91,23-05-2025,KRBL,Midcap,FMCG,2025-05-23,19-05-2025,Midcap,FMCG,2025-05-19,1.0
92,23-05-2025,COFORGE,Largecap,I.T,2025-05-23,23-10-2024,Largecap,I.T,2024-10-23,3.0
93,23-05-2025,DWARKESH,Smallcap,FMCG,2025-05-23,14-05-2025,Smallcap,FMCG,2025-05-14,2.0
94,23-05-2025,IIFL,Midcap,Finance,2025-05-23,05-03-2025,Midcap,Finance,2025-03-05,1.0
