date,symbol,marketcapname,sector
30-09-2024,BOMDYEING,Smallcap,Textiles
30-09-2024,KIRLOSBROS,Midcap,FMCG
30-09-2024,VLSFINANCE,Smallcap,Finance
30-09-2024,VAKRANGEE,Smallcap,I.T
30-09-2024,TRIGYN,Smallcap,I.T
30-09-2024,SOMATEX,Smallcap,Services
30-09-2024,WEIZMANIND,Smallcap,Textiles
30-09-2024,PKTEA,Smallcap,FMCG
30-09-2024,SAREGAMA,Midcap,Media
30-09-2024,ALPA,Smallcap,Pharmaceuticals
30-09-2024,MAANALU,Smallcap,Metals
30-09-2024,AHLEAST,Smallcap,Services
30-09-2024,VASWANI,Smallcap,Metals
30-09-2024,TERASOFT,Smallcap,I.T
30-09-2024,VSSL,Smallcap,Metals
01-10-2024,INDIAGLYCO,Midcap,FMCG
01-10-2024,HERCULES,Smallcap,FMCG
01-10-2024,JAYSREETEA,Smallcap,FMCG
01-10-2024,SAH,Smallcap,Services
01-10-2024,PKTEA,Smallcap,FMCG
01-10-2024,KAPSTON,Smallcap,Miscellaneous
01-10-2024,NATIONALUM,Largecap,Metals
01-10-2024,TAKE,Smallcap,Pharmaceuticals
01-10-2024,MAANALU,Smallcap,Metals
01-10-2024,AHLEAST,Smallcap,Services
01-10-2024,VMART,Midcap,FMCG
03-10-2024,GROBTEA,Smallcap,FMCG
03-10-2024,UNITEDTEA,Smallcap,FMCG
03-10-2024,KAPSTON,Smallcap,Miscellaneous
03-10-2024,ANUP,Midcap,Industrials
03-10-2024,PETRONET,Largecap,Industrials
03-10-2024,TERASOFT,Smallcap,I.T
03-10-2024,DTIL,Smallcap,FMCG
03-10-2024,SHIVALIK,Smallcap,Industrials
03-10-2024,BEARDSELL,Smallcap,FMCG
03-10-2024,PARAGMILK,Smallcap,FMCG
04-10-2024,HEUBACHIND,Smallcap,Industrials
04-10-2024,GROBTEA,Smallcap,FMCG
04-10-2024,JKPAPER,Midcap,Industrials
04-10-2024,RSYSTEMS,Smallcap,I.T
04-10-2024,CARERATING,Midcap,Miscellaneous
04-10-2024,APTUS,Midcap,Finance
07-10-2024,FINPIPE,Midcap,FMCG
07-10-2024,TAINWALCHM,Smallcap,Services
07-10-2024,AUSOMENT,Smallcap,Services
07-10-2024,DBCORP,Smallcap,Media
08-10-2024,INDIAGLYCO,Midcap,FMCG
08-10-2024,TAINWALCHM,Smallcap,Services
08-10-2024,JYOTISTRUC,Smallcap,FMCG
08-10-2024,SINDHUTRAD,Smallcap,Services
08-10-2024,SECMARK,Smallcap,I.T
08-10-2024,WONDERLA,Smallcap,Media
09-10-2024,AKZOINDIA,Midcap,Industrials
09-10-2024,KEYFINSERV,Smallcap,Finance
09-10-2024,EMUDHRA,Midcap,I.T
09-10-2024,JYOTISTRUC,Smallcap,FMCG
09-10-2024,AARVI,Smallcap,Miscellaneous
09-10-2024,DBSTOCKBRO,Smallcap,Services
09-10-2024,SINDHUTRAD,Smallcap,Services
09-10-2024,SECMARK,Smallcap,I.T
09-10-2024,JPPOWER,Midcap,Miscellaneous
09-10-2024,SASKEN,Smallcap,I.T
09-10-2024,MAGNUM,Smallcap,Industrials
09-10-2024,DHANI,Smallcap,Finance
09-10-2024,PDMJEPAPER,Smallcap,Industrials
10-10-2024,TRF,Smallcap,FMCG
10-10-2024,GANECOS,Smallcap,Textiles
10-10-2024,63MOONS,Smallcap,I.T
10-10-2024,ICEMAKE,Smallcap,FMCG
10-10-2024,XELPMOC,Smallcap,I.T
10-10-2024,POWERINDIA,Largecap,FMCG
10-10-2024,NITCO,Smallcap,Services
10-10-2024,DBREALTY,Midcap,Realty
10-10-2024,ZENTEC,Midcap,Aerospace & Defence
11-10-2024,AGI,Midcap,Services
11-10-2024,SUNDROP,Smallcap,FMCG
11-10-2024,SUDARSCHEM,Midcap,Industrials
11-10-2024,AUSOMENT,Smallcap,Services
11-10-2024,USHAMART,Midcap,Metals
11-10-2024,SOMATEX,Smallcap,Services
11-10-2024,NETWEB,Midcap,I.T
11-10-2024,NDGL,Smallcap,Finance
11-10-2024,HECPROJECT,Smallcap,Realty
11-10-2024,DBREALTY,Midcap,Realty
11-10-2024,PAVNAIND,Smallcap,Auto
14-10-2024,HLVLTD,Smallcap,Services
14-10-2024,PREMIERPOL,Smallcap,FMCG
14-10-2024,REDTAPE,Midcap,FMCG
14-10-2024,PODDARMENT,Smallcap,Industrials
14-10-2024,AEROFLEX,Smallcap,Metals
14-10-2024,GANESHHOUC,Midcap,Realty
14-10-2024,DPWIRES,Smallcap,Metals
14-10-2024,63MOONS,Smallcap,I.T
14-10-2024,SBGLP,Smallcap,Realty
14-10-2024,SECMARK,Smallcap,I.T
14-10-2024,APTUS,Midcap,Finance
14-10-2024,SKIPPER,Midcap,Industrials
15-10-2024,GFLLIMITED,Smallcap,Finance
15-10-2024,AJMERA,Smallcap,Realty
15-10-2024,PREMIERPOL,Smallcap,FMCG
15-10-2024,SILINV,Smallcap,Finance
15-10-2024,63MOONS,Smallcap,I.T
15-10-2024,5PAISA,Smallcap,Services
15-10-2024,SECMARK,Smallcap,I.T
15-10-2024,ANGELONE,Largecap,Services
15-10-2024,NSIL,Smallcap,Finance
15-10-2024,NETWORK18,Midcap,Media
15-10-2024,MOTILALOFS,Largecap,Services
15-10-2024,SMCGLOBAL,Smallcap,Services
15-10-2024,BIGBLOC,Smallcap,Industrials
16-10-2024,RALLIS,Midcap,Industrials
16-10-2024,IFBIND,Midcap,FMCG
16-10-2024,ORBTEXP,Smallcap,Textiles
16-10-2024,PYRAMID,Smallcap,Services
16-10-2024,GLOBAL,Smallcap,Services
16-10-2024,HDFCAMC,Largecap,Finance
16-10-2024,UTIAMC,Midcap,Finance
16-10-2024,NSIL,Smallcap,Finance
16-10-2024,HTMEDIA,Smallcap,Media
16-10-2024,BEDMUTHA,Smallcap,Metals
16-10-2024,RAILTEL,Midcap,Telecom
16-10-2024,MOL,Smallcap,Industrials
16-10-2024,ABSLAMC,Largecap,Finance
16-10-2024,PRECAM,Smallcap,Auto
17-10-2024,KARURVYSYA,Midcap,Bank
17-10-2024,HIRECT,Smallcap,FMCG
17-10-2024,PYRAMID,Smallcap,Services
17-10-2024,MPHASIS,Largecap,I.T
17-10-2024,NSIL,Smallcap,Finance
17-10-2024,AHLEAST,Smallcap,Services
17-10-2024,BESTAGRO,Smallcap,Industrials
18-10-2024,GFLLIMITED,Smallcap,Finance
18-10-2024,HIRECT,Smallcap,FMCG
18-10-2024,PENIND,Smallcap,Metals
18-10-2024,SILINV,Smallcap,Finance
18-10-2024,TEJASNET,Midcap,Telecom
18-10-2024,VPRPL,Smallcap,Realty
18-10-2024,ARVEE,Smallcap,Industrials
18-10-2024,NSIL,Smallcap,Finance
18-10-2024,MOTILALOFS,Largecap,Services
18-10-2024,HEMIPROP,Smallcap,Realty
21-10-2024,GFLLIMITED,Smallcap,Finance
21-10-2024,MAHSCOOTER,Midcap,Finance
21-10-2024,VHL,Smallcap,Finance
21-10-2024,TATACHEM,Largecap,Industrials
21-10-2024,ZUARIIND,Smallcap,FMCG
21-10-2024,AFSL,Smallcap,Finance
21-10-2024,SILINV,Smallcap,Finance
21-10-2024,TEJASNET,Midcap,Telecom
21-10-2024,GANGESSECU,Smallcap,Finance
21-10-2024,AMBER,Largecap,FMCG
21-10-2024,ARVEE,Smallcap,Industrials
21-10-2024,JSWHL,Largecap,Finance
21-10-2024,NAHARCAP,Smallcap,Finance
21-10-2024,BFINVEST,Smallcap,Finance
21-10-2024,DELPHIFX,Smallcap,Finance
21-10-2024,JPOLYINVST,Smallcap,Finance
21-10-2024,PILANIINVS,Midcap,Finance
22-10-2024,SAURASHCEM,Smallcap,Industrials
22-10-2024,TALBROAUTO,Smallcap,Auto
22-10-2024,UNICHEMLAB,Smallcap,Pharmaceuticals
22-10-2024,MITCON,Smallcap,Miscellaneous
22-10-2024,CUB,Midcap,Bank
23-10-2024,DYCL,Smallcap,Industrials
23-10-2024,GMDCLTD,Midcap,Industrials
23-10-2024,COFORGE,Largecap,I.T
23-10-2024,PERSISTENT,Largecap,I.T
23-10-2024,PAYTM,Largecap,I.T
24-10-2024,HIMATSEIDE,Smallcap,Textiles
24-10-2024,VISHNU,Smallcap,Industrials
24-10-2024,PPLPHARMA,Largecap,Pharmaceuticals
24-10-2024,ASTERDM,Largecap,Pharmaceuticals
24-10-2024,TARACHAND,Smallcap,Miscellaneous
24-10-2024,PAR,Smallcap,Pharmaceuticals
24-10-2024,HPIL,Smallcap,Industrials
24-10-2024,CARERATING,Midcap,Miscellaneous
24-10-2024,SONACOMS,Largecap,Auto
25-10-2024,SALONA,Smallcap,Textiles
25-10-2024,KIRLPNU,Midcap,FMCG
25-10-2024,KAMATHOTEL,Smallcap,Services
25-10-2024,DPWIRES,Smallcap,Metals
25-10-2024,DCBBANK,Smallcap,Bank
28-10-2024,ARE&M,Midcap,Auto
28-10-2024,BHEL,Largecap,FMCG
28-10-2024,KIRLPNU,Midcap,FMCG
28-10-2024,DMCC,Smallcap,Industrials
28-10-2024,SHRIRAMFIN,Largecap,Finance
28-10-2024,SYRMA,Midcap,FMCG
28-10-2024,ACI,Midcap,Industrials
28-10-2024,POONAWALLA,Largecap,Finance
28-10-2024,MEDICO,Smallcap,Pharmaceuticals
28-10-2024,ORIENTELEC,Midcap,FMCG
28-10-2024,LAGNAM,Smallcap,Textiles
28-10-2024,INDIANB,Largecap,Bank
28-10-2024,DLF,Largecap,Realty
28-10-2024,SHARDACROP,Midcap,Industrials
29-10-2024,FEDERALBNK,Largecap,Bank
29-10-2024,GILLETTE,Largecap,FMCG
29-10-2024,LANCORHOL,Smallcap,Realty
29-10-2024,PARADEEP,Midcap,Industrials
29-10-2024,SYRMA,Midcap,FMCG
29-10-2024,JSWINFRA,Largecap,Industrials
29-10-2024,DYCL,Smallcap,Industrials
29-10-2024,RPTECH,Smallcap,Services
29-10-2024,AMIORG,Smallcap,Pharmaceuticals
30-10-2024,JAGSNPHARM,Smallcap,Pharmaceuticals
30-10-2024,POONAWALLA,Largecap,Finance
30-10-2024,ABCAPITAL,Largecap,Finance
30-10-2024,BYKE,Smallcap,Services
30-10-2024,CGCL,Midcap,Finance
30-10-2024,POLYMED,Largecap,Pharmaceuticals
30-10-2024,REDINGTON,Largecap,Services
30-10-2024,IRFC,Largecap,Finance
30-10-2024,KRSNAA,Smallcap,Pharmaceuticals
30-10-2024,DATAPATTNS,Midcap,Aerospace & Defence
