date,symbol,marketcapname,sector
30-09-2024,BAJFINANCE,Largecap,Finance
30-09-2024,BALRAMCHIN,Midcap,FMCG
30-09-2024,BLUESTARCO,Largecap,FMCG
30-09-2024,KCP,Smallcap,Industrials
30-09-2024,CESC,Largecap,Miscellaneous
30-09-2024,SUNDARMFIN,Largecap,Finance
30-09-2024,CGPOWER,Largecap,FMCG
30-09-2024,DALMIASUG,Smallcap,FMCG
30-09-2024,HINDPETRO,Largecap,Industrials
30-09-2024,TITAN,Largecap,Miscellaneous
30-09-2024,DCW,Smallcap,Oils
30-09-2024,EIDPARRY,Midcap,FMCG
30-09-2024,EPL,Midcap,Services
30-09-2024,ESTER,Smallcap,Services
30-09-2024,UFLEX,Smallcap,Services
30-09-2024,GODREJIND,Largecap,Industrials
30-09-2024,HCL-INSYS,Smallcap,I.T
30-09-2024,HDFCBANK,Largecap,Bank
30-09-2024,HSCL,Largecap,Industrials
30-09-2024,AGI,Midcap,Services
30-09-2024,INDIAGLYCO,Midcap,FMCG
30-09-2024,JSWSTEEL,Largecap,Metals
30-09-2024,LUPIN,Largecap,Pharmaceuticals
30-09-2024,MFSL,Largecap,Finance
30-09-2024,MOREPENLAB,Smallcap,Pharmaceuticals
30-09-2024,VEDL,Largecap,Industrials
30-09-2024,PEL,Largecap,Finance
30-09-2024,NIITLTD,Smallcap,I.T
30-09-2024,SURYAROSNI,Midcap,Metals
30-09-2024,JINDALSAW,Midcap,Metals
30-09-2024,TATAPOWER,Largecap,Miscellaneous
30-09-2024,SPMLINFRA,Smallcap,Realty
30-09-2024,TORNTPHARM,Largecap,Pharmaceuticals
30-09-2024,UNIENTER,Smallcap,Services
30-09-2024,HINDALCO,Largecap,Metals
30-09-2024,BBOX,Midcap,I.T
30-09-2024,TATACOMM,Largecap,Telecom
30-09-2024,ESCORTS,Largecap,Auto
30-09-2024,M&M,Largecap,Auto
30-09-2024,VOLTAS,Largecap,FMCG
30-09-2024,DEEPAKFERT,Midcap,Industrials
30-09-2024,HINDUNILVR,Largecap,FMCG
30-09-2024,NESTLEIND,Largecap,FMCG
30-09-2024,BRITANNIA,Largecap,FMCG
30-09-2024,COLPAL,Largecap,FMCG
30-09-2024,ITC,Largecap,FMCG
30-09-2024,CEATLTD,Midcap,Auto
30-09-2024,BBTC,Midcap,Auto
30-09-2024,GREAVESCOT,Smallcap,FMCG
30-09-2024,SARDAEN,Midcap,Metals
30-09-2024,CHOLAHLDNG,Largecap,Finance
30-09-2024,WESTLIFE,Midcap,Quick Service Restaurant
30-09-2024,ELECON,Midcap,FMCG
