,symbol
0,IDEAFORGE
1,GRAPHITE
2,MINDTECK
3,RAJRATAN
4,TVSELECT
5,SMLISUZU
6,VISAKAIND
7,FAZE3Q
8,NDRAUTO
9,ASHIMASYN
10,VSSL
11,RELINFRA
12,RPOWER
13,MANINDS
14,CHENNPETRO
15,IPL
16,ORIENTPPR
17,RBA
18,BDL
19,KPRMILL
20,WANBURY
21,SPAL
22,WELSPUNLIV
23,NACLIND
24,KIRLOSENG
25,GPTINFRA
26,PARAS
27,ASAHISONG
28,SARLAPOLY
29,HBLENGINE
30,APTECHT
31,RAILTEL
32,DCXINDIA
33,ASTRAMICRO
34,BASF
35,NIVABUPA
36,HLEGLAS
37,STANLEY
38,UTTAMSUGAR
39,JBMA
40,INOXGREEN
41,MOREPENLAB
42,GALLANTT
43,TI
44,SAMHI
45,SDBL
46,TDPOWERSYS
47,IOLCP
48,FUSION
49,CUPID
50,DBREALTY
51,ESSARSHPNG
52,MASTERTR
53,SYRMA
54,NUVOCO
55,PARAGMILK
56,MENONBE
57,DYCL
58,NAHARSPING
59,MIDHANI
60,CERA
61,ECOSMOBLTY
