,symbol
0,"NSE:MENONBE-EQ,"
1,"NSE:TI-EQ,"
2,"NSE:SAMHI-EQ,"
3,"NSE:MOREPENLAB-EQ,"
4,"NSE:SYRMA-EQ,"
5,"NSE:NIVABUPA-EQ,"
6,"NSE:DYCL-EQ,"
7,"NSE:WELSPUNLIV-EQ,"
8,"NSE:AARTIDRUGS-EQ,"
9,"NSE:DBREALTY-EQ,"
10,"NSE:APTECHT-EQ,"
11,"NSE:RAJRATAN-EQ,"
12,"NSE:GABRIEL-EQ,"
13,"NSE:NAHARSPING-EQ,"
14,"NSE:UTTAMSUGAR-EQ,"
15,"NSE:CUPID-EQ,"
16,"NSE:ASTRAMICRO-EQ,"
17,"NSE:ASAHISONG-EQ,"
18,"NSE:RPOWER-EQ,"
19,"NSE:SMLISUZU-EQ,"
20,"NSE:MASTERTR-EQ,"
21,"NSE:NUVOCO-EQ,"
22,"NSE:GPTINFRA-EQ,"
23,"NSE:WHIRLPOOL-EQ,"
24,"NSE:BUTTERFLY-EQ,"
25,"NSE:FAZE3Q-EQ,"
26,"NSE:INDIAGLYCO-EQ,"
27,"NSE:KPRMILL-EQ,"
28,"NSE:PARAGMILK-EQ,"
29,"NSE:RELINFRA-EQ,"
30,"NSE:CERA-EQ,"
31,"NSE:IPL-EQ,"
32,"NSE:KIRLOSENG-EQ,"
33,"NSE:TVSELECT-EQ,"
34,"NSE:VADILALIND-EQ,"
35,"NSE:MANINDS-EQ,"
36,"NSE:DREDGECORP-EQ,"
37,"NSE:OSWALAGRO-EQ,"
38,"NSE:PUNJABCHEM-EQ,"
39,"NSE:JBMA-EQ,"
40,"NSE:HBLENGINE-EQ,"
41,"NSE:NAHARINDUS-EQ,"
